Year,UNIT_MEASURE,Naučna oblast,Vrsta obrazovanja,Pol,Value
2018,Broj,"Poslovanje, administracija i pravo",Magistarske studije,M,0
2018,Broj,education,Magistarske studije,M,2
2018,Broj,Umjetnost i humanističke nauke,Magistarske studije,M,3
2018,Broj,services,Magistarske studije,M,0
2018,Broj,Ukupno,Magistarske studije,Ž,8
2018,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ž,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ž,0
2018,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ž,0
2018,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ž,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ž,1
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ž,0
2018,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ž,0
2018,Broj,education,Magistarske studije,Ž,7
2018,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ž,0
2018,Broj,services,Magistarske studije,Ž,0
2018,Broj,Ukupno,Master studije,Oba pola,2144
2018,Broj,"Prirodne nauke, matematika i statistika",Master studije,Oba pola,76
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Oba pola,362
2018,Broj,Informacione i komunikacione tehnologije,Master studije,Oba pola,120
2018,Broj,Zdravstvo i socijalna zaštita,Master studije,Oba pola,42
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Oba pola,189
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Oba pola,503
2018,Broj,"Poslovanje, administracija i pravo",Master studije,Oba pola,240
2018,Broj,education,Master studije,Oba pola,314
2018,Broj,Umjetnost i humanističke nauke,Master studije,Oba pola,291
2018,Broj,services,Master studije,Oba pola,7
2018,Broj,Ukupno,Master studije,M,937
2018,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,28
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,229
2018,Broj,Informacione i komunikacione tehnologije,Master studije,M,83
2018,Broj,Zdravstvo i socijalna zaštita,Master studije,M,12
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,98
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,163
2018,Broj,"Poslovanje, administracija i pravo",Master studije,M,85
2018,Broj,education,Master studije,M,103
2018,Broj,Umjetnost i humanističke nauke,Master studije,M,133
2018,Broj,services,Master studije,M,3
2018,Broj,Ukupno,Master studije,Ž,1207
2018,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,48
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,133
2018,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,37
2018,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,30
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,91
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,340
2018,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,155
2018,Broj,education,Master studije,Ž,211
2018,Broj,Umjetnost i humanističke nauke,Master studije,Ž,158
2018,Broj,services,Master studije,Ž,4
2018,Broj,Ukupno,Specijalističke studije,Oba pola,160
2018,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Oba pola,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Oba pola,0
2018,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Oba pola,0
2018,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Oba pola,156
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Oba pola,0
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Oba pola,1
2018,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Oba pola,0
2018,Broj,education,Specijalističke studije,Oba pola,2
2018,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Oba pola,1
2018,Broj,services,Specijalističke studije,Oba pola,0
2018,Broj,Ukupno,Specijalističke studije,M,66
2018,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2018,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2018,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,64
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,1
2018,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2018,Broj,education,Specijalističke studije,M,0
2018,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,1
2018,Broj,services,Specijalističke studije,M,0
2018,Broj,Ukupno,Specijalističke studije,Ž,94
2018,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2018,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2018,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,92
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2018,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2018,Broj,education,Specijalističke studije,Ž,2
2018,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2018,Broj,services,Specijalističke studije,Ž,0
2019,Broj,Ukupno,Magistarske studije,Oba pola,16
2019,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Oba pola,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Oba pola,13
2019,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Oba pola,0
2019,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Oba pola,0
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Oba pola,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Oba pola,0
2019,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Oba pola,0
2019,Broj,education,Magistarske studije,Oba pola,2
2019,Broj,Umjetnost i humanističke nauke,Magistarske studije,Oba pola,1
2019,Broj,services,Magistarske studije,Oba pola,0
2019,Broj,Ukupno,Magistarske studije,M,12
2019,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,M,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,M,10
2019,Broj,Informacione i komunikacione tehnologije,Magistarske studije,M,0
2019,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,M,0
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,M,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,M,0
2019,Broj,"Poslovanje, administracija i pravo",Magistarske studije,M,0
2019,Broj,education,Magistarske studije,M,1
2019,Broj,Umjetnost i humanističke nauke,Magistarske studije,M,1
2019,Broj,services,Magistarske studije,M,0
2019,Broj,Ukupno,Magistarske studije,Ž,4
2019,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ž,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ž,3
2019,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ž,0
2019,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ž,0
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ž,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ž,0
2019,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ž,0
2019,Broj,education,Magistarske studije,Ž,1
2019,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ž,0
2019,Broj,services,Magistarske studije,Ž,0
2019,Broj,Ukupno,Master studije,Oba pola,2109
2019,Broj,"Prirodne nauke, matematika i statistika",Master studije,Oba pola,79
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Oba pola,394
2019,Broj,Informacione i komunikacione tehnologije,Master studije,Oba pola,80
2019,Broj,Zdravstvo i socijalna zaštita,Master studije,Oba pola,45
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Oba pola,188
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Oba pola,492
2019,Broj,"Poslovanje, administracija i pravo",Master studije,Oba pola,236
2019,Broj,education,Master studije,Oba pola,298
2019,Broj,Umjetnost i humanističke nauke,Master studije,Oba pola,291
2019,Broj,services,Master studije,Oba pola,6
2019,Broj,Ukupno,Master studije,M,930
2019,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,22
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,243
2019,Broj,Informacione i komunikacione tehnologije,Master studije,M,59
2019,Broj,Zdravstvo i socijalna zaštita,Master studije,M,10
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,98
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,160
2019,Broj,"Poslovanje, administracija i pravo",Master studije,M,89
2019,Broj,education,Master studije,M,104
2019,Broj,Umjetnost i humanističke nauke,Master studije,M,142
2019,Broj,services,Master studije,M,3
2019,Broj,Ukupno,Master studije,Ž,1179
2019,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,57
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,151
2019,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,21
2019,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,35
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,90
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,332
2019,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,147
2019,Broj,education,Master studije,Ž,194
2019,Broj,Umjetnost i humanističke nauke,Master studije,Ž,149
2019,Broj,services,Master studije,Ž,3
2019,Broj,Ukupno,Specijalističke studije,Oba pola,170
2019,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Oba pola,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Oba pola,0
2019,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Oba pola,0
2019,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Oba pola,170
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Oba pola,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Oba pola,0
2019,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Oba pola,0
2019,Broj,education,Specijalističke studije,Oba pola,0
2019,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Oba pola,0
2019,Broj,services,Specijalističke studije,Oba pola,0
2019,Broj,Ukupno,Specijalističke studije,M,72
2019,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2019,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2019,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,72
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2019,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2019,Broj,education,Specijalističke studije,M,0
2019,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2019,Broj,services,Specijalističke studije,M,0
2019,Broj,Ukupno,Specijalističke studije,Ž,98
2019,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2019,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2019,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,98
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2019,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,0
2019,Broj,education,Specijalističke studije,Ž,0
2019,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2019,Broj,services,Specijalističke studije,Ž,0
2020,Broj,Ukupno,Magistarske studije,Oba pola,4
2020,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Oba pola,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Oba pola,0
2020,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Oba pola,0
2020,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Oba pola,0
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Oba pola,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Oba pola,0
2020,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Oba pola,2
2020,Broj,education,Magistarske studije,Oba pola,2
2020,Broj,Umjetnost i humanističke nauke,Magistarske studije,Oba pola,0
2020,Broj,services,Magistarske studije,Oba pola,0
2020,Broj,Ukupno,Magistarske studije,M,3
2020,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,M,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,M,0
2020,Broj,Informacione i komunikacione tehnologije,Magistarske studije,M,0
2020,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,M,0
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,M,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,M,0
2020,Broj,"Poslovanje, administracija i pravo",Magistarske studije,M,1
2020,Broj,education,Magistarske studije,M,2
2020,Broj,Umjetnost i humanističke nauke,Magistarske studije,M,0
2020,Broj,services,Magistarske studije,M,0
2020,Broj,Ukupno,Magistarske studije,Ž,1
2020,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ž,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ž,0
2020,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ž,0
2020,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ž,0
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ž,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ž,0
2020,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ž,1
2020,Broj,education,Magistarske studije,Ž,0
2020,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ž,0
2020,Broj,services,Magistarske studije,Ž,0
2020,Broj,Ukupno,Master studije,Oba pola,2430
2020,Broj,"Prirodne nauke, matematika i statistika",Master studije,Oba pola,93
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Oba pola,399
2020,Broj,Informacione i komunikacione tehnologije,Master studije,Oba pola,117
2020,Broj,Zdravstvo i socijalna zaštita,Master studije,Oba pola,52
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Oba pola,216
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Oba pola,619
2020,Broj,"Poslovanje, administracija i pravo",Master studije,Oba pola,216
2020,Broj,education,Master studije,Oba pola,381
2020,Broj,Umjetnost i humanističke nauke,Master studije,Oba pola,328
2020,Broj,services,Master studije,Oba pola,9
2020,Broj,Ukupno,Master studije,M,1036
2020,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,26
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,252
2020,Broj,Informacione i komunikacione tehnologije,Master studije,M,82
2020,Broj,Zdravstvo i socijalna zaštita,Master studije,M,10
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,119
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,194
2020,Broj,"Poslovanje, administracija i pravo",Master studije,M,79
2020,Broj,education,Master studije,M,129
2020,Broj,Umjetnost i humanističke nauke,Master studije,M,142
2020,Broj,services,Master studije,M,3
2020,Broj,Ukupno,Master studije,Ž,1394
2020,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,67
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,147
2020,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,35
2020,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,42
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,97
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,425
2020,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,137
2020,Broj,education,Master studije,Ž,252
2020,Broj,Umjetnost i humanističke nauke,Master studije,Ž,186
2020,Broj,services,Master studije,Ž,6
2020,Broj,Ukupno,Specijalističke studije,Oba pola,170
2020,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Oba pola,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Oba pola,0
2020,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Oba pola,0
2020,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Oba pola,170
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Oba pola,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Oba pola,0
2020,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Oba pola,0
2020,Broj,education,Specijalističke studije,Oba pola,0
2020,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Oba pola,0
2020,Broj,services,Specijalističke studije,Oba pola,0
2020,Broj,Ukupno,Specijalističke studije,M,39
2020,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2020,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2020,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,39
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,0
2020,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2020,Broj,education,Specijalističke studije,M,0
2020,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2020,Broj,services,Specijalističke studije,M,0
2020,Broj,Ukupno,Specijalističke studije,Ž,131
2020,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
