Year,UNIT_MEASURE,Административно подручје,Пол,Mother tounge,Value
2013,Број,OSTRA LUKA,Ж,Укупно,1319
2013,Број,PALE,Оба пола,Укупно,20359
2013,Број,PALE,M,Укупно,9744
2013,Број,PALE,Ж,Укупно,10615
2013,Број,PELAGICEVO,Оба пола,Укупно,4358
2013,Број,PELAGICEVO,M,Укупно,2151
2013,Број,PELAGICEVO,Ж,Укупно,2207
2013,Број,PETROVAC,Оба пола,Укупно,354
2013,Број,PETROVAC,M,Укупно,169
2013,Број,PETROVAC,Ж,Укупно,185
2013,Број,PETROVO,Оба пола,Укупно,6317
2013,Број,PETROVO,M,Укупно,3043
2013,Број,PETROVO,Ж,Укупно,3274
2013,Број,PRIJEDOR,Оба пола,Укупно,80916
2013,Број,PRIJEDOR,M,Укупно,39418
2013,Број,PRIJEDOR,Ж,Укупно,41498
2013,Број,PRNJAVOR,Оба пола,Укупно,34357
2013,Број,PRNJAVOR,M,Укупно,16675
2013,Број,PRNJAVOR,Ж,Укупно,17682
2013,Број,RIBNIK,Оба пола,Укупно,5851
2013,Број,RIBNIK,M,Укупно,2900
2013,Број,RIBNIK,Ж,Укупно,2951
2013,Број,ROGATICA,Оба пола,Укупно,10302
2013,Број,ROGATICA,M,Укупно,5053
2013,Број,ROGATICA,Ж,Укупно,5249
2013,Број,RUDO,Оба пола,Укупно,7578
2013,Број,RUDO,M,Укупно,3840
2013,Број,RUDO,Ж,Укупно,3738
2013,Број,SOKOLAC,Оба пола,Укупно,11620
2013,Број,SOKOLAC,M,Укупно,5723
2013,Број,SOKOLAC,Ж,Укупно,5897
2013,Број,SRBAC,Оба пола,Укупно,16933
2013,Број,SRBAC,M,Укупно,8295
2013,Број,SRBAC,Ж,Укупно,8638
2013,Број,SREBRENICA,Оба пола,Укупно,11698
2013,Број,SREBRENICA,M,Укупно,5714
2013,Број,SREBRENICA,Ж,Укупно,5984
2013,Број,TESLIC,Оба пола,Укупно,37236
2013,Број,TESLIC,M,Укупно,17894
2013,Број,TESLIC,Ж,Укупно,19342
2013,Број,TREBINJE,Оба пола,Укупно,28239
2013,Број,TREBINJE,M,Укупно,13760
2013,Број,TREBINJE,Ж,Укупно,14479
2013,Број,TRNOVO,Оба пола,Укупно,1983
2013,Број,TRNOVO,M,Укупно,953
2013,Број,TRNOVO,Ж,Укупно,1030
2013,Број,UGLJEVIK,Оба пола,Укупно,15118
2013,Број,UGLJEVIK,M,Укупно,7626
2013,Број,UGLJEVIK,Ж,Укупно,7492
2013,Број,FOCA,Оба пола,Укупно,17580
2013,Број,FOCA,M,Укупно,8880
2013,Број,FOCA,Ж,Укупно,8700
2013,Број,HAN PIJESAK,Оба пола,Укупно,3445
2013,Број,HAN PIJESAK,M,Укупно,1632
2013,Број,HAN PIJESAK,Ж,Укупно,1813
2013,Број,CAJNICE,Оба пола,Укупно,4679
2013,Број,CAJNICE,M,Укупно,2347
2013,Број,CAJNICE,Ж,Укупно,2332
2013,Број,CELINAC,Оба пола,Укупно,15117
2013,Број,CELINAC,M,Укупно,7477
2013,Број,CELINAC,Ж,Укупно,7640
2013,Број,SAMAC,Оба пола,Укупно,16308
2013,Број,SAMAC,M,Укупно,7908
2013,Број,SAMAC,Ж,Укупно,8400
2013,Број,SEKOVICI,Оба пола,Укупно,6323
2013,Број,SEKOVICI,M,Укупно,3103
2013,Број,SEKOVICI,Ж,Укупно,3220
2013,Број,SIPOVO,Оба пола,Укупно,9969
2013,Број,SIPOVO,M,Укупно,5046
2013,Број,SIPOVO,Ж,Укупно,4923
2013,Број,REPUBLIKA SRPSKA,Оба пола,bosnian,150221
2013,Број,REPUBLIKA SRPSKA,M,bosnian,73026
2013,Број,REPUBLIKA SRPSKA,Ж,bosnian,77195
2013,Број,BANJA LUKA,Оба пола,bosnian,6792
2013,Број,BANJA LUKA,M,bosnian,3152
2013,Број,BANJA LUKA,Ж,bosnian,3640
2013,Број,BERKOVICI,Оба пола,bosnian,155
2013,Број,BERKOVICI,M,bosnian,87
2013,Број,BERKOVICI,Ж,bosnian,68
2013,Број,BIJELJINA,Оба пола,bosnian,11651
2013,Број,BIJELJINA,M,bosnian,5712
2013,Број,BIJELJINA,Ж,bosnian,5939
2013,Број,BILECA,Оба пола,bosnian,21
2013,Број,BILECA,M,bosnian,14
2013,Број,BILECA,Ж,bosnian,7
2013,Број,BRATUNAC,Оба пола,bosnian,6596
2013,Број,BRATUNAC,M,bosnian,3217
2013,Број,BRATUNAC,Ж,bosnian,3379
2013,Број,BROD,Оба пола,bosnian,1397
2013,Број,BROD,M,bosnian,680
2013,Број,BROD,Ж,bosnian,717
2013,Број,VISEGRAD,Оба пола,bosnian,887
2013,Број,VISEGRAD,M,bosnian,449
2013,Број,VISEGRAD,Ж,bosnian,438
2013,Број,VLASENICA,Оба пола,bosnian,3372
2013,Број,VLASENICA,M,bosnian,1648
2013,Број,VLASENICA,Ж,bosnian,1724
2013,Број,VUKOSAVLJE,Оба пола,bosnian,2098
2013,Број,VUKOSAVLJE,M,bosnian,1062
2013,Број,VUKOSAVLJE,Ж,bosnian,1036
2013,Број,GACKO,Оба пола,bosnian,331
2013,Број,GACKO,M,bosnian,178
2013,Број,GACKO,Ж,bosnian,153
2013,Број,GRADISKA,Оба пола,bosnian,6335
2013,Број,GRADISKA,M,bosnian,3083
2013,Број,GRADISKA,Ж,bosnian,3252
2013,Број,DERVENTA,Оба пола,bosnian,1791
2013,Број,DERVENTA,M,bosnian,857
2013,Број,DERVENTA,Ж,bosnian,934
2013,Број,DOBOJ,Оба пола,bosnian,14749
2013,Број,DOBOJ,M,bosnian,7085
2013,Број,DOBOJ,Ж,bosnian,7664
2013,Број,DONJI ZABAR,Оба пола,bosnian,11
2013,Број,DONJI ZABAR,M,bosnian,3
2013,Број,DONJI ZABAR,Ж,bosnian,8
2013,Број,ZVORNIK,Оба пола,bosnian,16813
2013,Број,ZVORNIK,M,bosnian,8218
2013,Број,ZVORNIK,Ж,bosnian,8595
2013,Број,ISTOCNA ILIDZA,Оба пола,bosnian,691
2013,Број,ISTOCNA ILIDZA,M,bosnian,322
2013,Број,ISTOCNA ILIDZA,Ж,bosnian,369
2013,Број,ISTOCNI DRVAR,Оба пола,bosnian,0
2013,Број,ISTOCNI DRVAR,M,bosnian,0
2013,Број,ISTOCNI DRVAR,Ж,bosnian,0
2013,Број,ISTOCNI MOSTAR,Оба пола,bosnian,78
2013,Број,ISTOCNI MOSTAR,M,bosnian,45
2013,Број,ISTOCNI MOSTAR,Ж,bosnian,33
2013,Број,ISTOCNI STARI GRAD,Оба пола,bosnian,44
2013,Број,ISTOCNI STARI GRAD,M,bosnian,27
2013,Број,ISTOCNI STARI GRAD,Ж,bosnian,17
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,bosnian,71
2013,Број,ISTOCNO NOVO SARAJEVO,M,bosnian,29
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,bosnian,42
2013,Број,JEZERO,Оба пола,bosnian,252
2013,Број,JEZERO,M,bosnian,118
2013,Број,JEZERO,Ж,bosnian,134
2013,Број,KALINOVIK,Оба пола,bosnian,37
2013,Број,KALINOVIK,M,bosnian,15
2013,Број,KALINOVIK,Ж,bosnian,22
2013,Број,KNEZEVO,Оба пола,bosnian,404
2013,Број,KNEZEVO,M,bosnian,185
2013,Број,KNEZEVO,Ж,bosnian,219
2013,Број,KOZARSKA DUBICA,Оба пола,bosnian,1922
2013,Број,KOZARSKA DUBICA,M,bosnian,927
2013,Број,KOZARSKA DUBICA,Ж,bosnian,995
2013,Број,KOSTAJNICA,Оба пола,bosnian,1283
2013,Број,KOSTAJNICA,M,bosnian,626
2013,Број,KOSTAJNICA,Ж,bosnian,657
2013,Број,KOTOR VAROS,Оба пола,bosnian,4517
2013,Број,KOTOR VAROS,M,bosnian,2173
2013,Број,KOTOR VAROS,Ж,bosnian,2344
2013,Број,KRUPA NA UNI,Оба пола,bosnian,3
2013,Број,KRUPA NA UNI,M,bosnian,1
2013,Број,KRUPA NA UNI,Ж,bosnian,2
2013,Број,KUPRES,Оба пола,bosnian,0
2013,Број,KUPRES,M,bosnian,0
2013,Број,KUPRES,Ж,bosnian,0
2013,Број,LAKTASI,Оба пола,bosnian,112
2013,Број,LAKTASI,M,bosnian,58
2013,Број,LAKTASI,Ж,bosnian,54
2013,Број,LOPARE,Оба пола,bosnian,1315
2013,Број,LOPARE,M,bosnian,648
2013,Број,LOPARE,Ж,bosnian,667
2013,Број,LJUBINJE,Оба пола,bosnian,10
2013,Број,LJUBINJE,M,bosnian,5
2013,Број,LJUBINJE,Ж,bosnian,5
2013,Број,MILICI,Оба пола,bosnian,3541
2013,Број,MILICI,M,bosnian,1751
2013,Број,MILICI,Ж,bosnian,1790
2013,Број,MODRICA,Оба пола,bosnian,3008
2013,Број,MODRICA,M,bosnian,1426
2013,Број,MODRICA,Ж,bosnian,1582
2013,Број,MRKONJIC GRAD,Оба пола,bosnian,358
2013,Број,MRKONJIC GRAD,M,bosnian,172
2013,Број,MRKONJIC GRAD,Ж,bosnian,186
2013,Број,NEVESINJE,Оба пола,bosnian,507
2013,Број,NEVESINJE,M,bosnian,261
2013,Број,NEVESINJE,Ж,bosnian,246
2013,Број,NOVI GRAD,Оба пола,bosnian,5260
2013,Број,NOVI GRAD,M,bosnian,2630
2013,Број,NOVI GRAD,Ж,bosnian,2630
2013,Број,NOVO GORAZDE,Оба пола,bosnian,1338
2013,Број,NOVO GORAZDE,M,bosnian,671
2013,Број,NOVO GORAZDE,Ж,bosnian,667
2013,Број,OSMACI,Оба пола,bosnian,2680
2013,Број,OSMACI,M,bosnian,1323
2013,Број,OSMACI,Ж,bosnian,1357
2013,Број,OSTRA LUKA,Оба пола,bosnian,39
2013,Број,OSTRA LUKA,M,bosnian,16
2013,Број,OSTRA LUKA,Ж,bosnian,23
2013,Број,PALE,Оба пола,bosnian,170
2013,Број,PALE,M,bosnian,89
2013,Број,PALE,Ж,bosnian,81
2013,Број,PELAGICEVO,Оба пола,bosnian,24
2013,Број,PELAGICEVO,M,bosnian,6
2013,Број,PELAGICEVO,Ж,bosnian,18
2013,Број,PETROVAC,Оба пола,bosnian,0
2013,Број,PETROVAC,M,bosnian,0
2013,Број,PETROVAC,Ж,bosnian,0
2013,Број,PETROVO,Оба пола,bosnian,7
2013,Број,PETROVO,M,bosnian,4
2013,Број,PETROVO,Ж,bosnian,3
2013,Број,PRIJEDOR,Оба пола,bosnian,22548
2013,Број,PRIJEDOR,M,bosnian,10781
2013,Број,PRIJEDOR,Ж,bosnian,11767
2013,Број,PRNJAVOR,Оба пола,bosnian,2792
2013,Број,PRNJAVOR,M,bosnian,1344
2013,Број,PRNJAVOR,Ж,bosnian,1448
2013,Број,RIBNIK,Оба пола,bosnian,3
2013,Број,RIBNIK,M,bosnian,1
2013,Број,RIBNIK,Ж,bosnian,2
2013,Број,ROGATICA,Оба пола,bosnian,1022
2013,Број,ROGATICA,M,bosnian,525
2013,Број,ROGATICA,Ж,bosnian,497
2013,Број,RUDO,Оба пола,bosnian,586
2013,Број,RUDO,M,bosnian,308
2013,Број,RUDO,Ж,bosnian,278
2013,Број,SOKOLAC,Оба пола,bosnian,645
2013,Број,SOKOLAC,M,bosnian,340
2013,Број,SOKOLAC,Ж,bosnian,305
2013,Број,SRBAC,Оба пола,bosnian,389
2013,Број,SRBAC,M,bosnian,181
2013,Број,SRBAC,Ж,bosnian,208
2013,Број,SREBRENICA,Оба пола,bosnian,6145
2013,Број,SREBRENICA,M,bosnian,2921
2013,Број,SREBRENICA,Ж,bosnian,3224
2013,Број,TESLIC,Оба пола,bosnian,7090
2013,Број,TESLIC,M,bosnian,3489
2013,Број,TESLIC,Ж,bosnian,3601
2013,Број,TREBINJE,Оба пола,bosnian,860
2013,Број,TREBINJE,M,bosnian,425
2013,Број,TREBINJE,Ж,bosnian,435
2013,Број,TRNOVO,Оба пола,bosnian,820
2013,Број,TRNOVO,M,bosnian,406
2013,Број,TRNOVO,Ж,bosnian,414
2013,Број,UGLJEVIK,Оба пола,bosnian,2000
2013,Број,UGLJEVIK,M,bosnian,975
2013,Број,UGLJEVIK,Ж,bosnian,1025
2013,Број,FOCA,Оба пола,bosnian,1182
2013,Број,FOCA,M,bosnian,633
2013,Број,FOCA,Ж,bosnian,549
2013,Број,HAN PIJESAK,Оба пола,bosnian,433
2013,Број,HAN PIJESAK,M,bosnian,211
2013,Број,HAN PIJESAK,Ж,bosnian,222
2013,Број,CAJNICE,Оба пола,bosnian,839
2013,Број,CAJNICE,M,bosnian,441
2013,Број,CAJNICE,Ж,bosnian,398
2013,Број,CELINAC,Оба пола,bosnian,391
2013,Број,CELINAC,M,bosnian,195
2013,Број,CELINAC,Ж,bosnian,196
2013,Број,SAMAC,Оба пола,bosnian,1110
2013,Број,SAMAC,M,bosnian,527
2013,Број,SAMAC,Ж,bosnian,583
2013,Број,SEKOVICI,Оба пола,bosnian,104
2013,Број,SEKOVICI,M,bosnian,52
2013,Број,SEKOVICI,Ж,bosnian,52
2013,Број,SIPOVO,Оба пола,bosnian,592
2013,Број,SIPOVO,M,bosnian,298
2013,Број,SIPOVO,Ж,bosnian,294
2013,Број,REPUBLIKA SRPSKA,Оба пола,croatian,17315
2013,Број,REPUBLIKA SRPSKA,M,croatian,7870
2013,Број,REPUBLIKA SRPSKA,Ж,croatian,9445
2013,Број,BANJA LUKA,Оба пола,croatian,1621
2013,Број,BANJA LUKA,M,croatian,586
2013,Број,BANJA LUKA,Ж,croatian,1035
2013,Број,BERKOVICI,Оба пола,croatian,4
2013,Број,BERKOVICI,M,croatian,1
2013,Број,BERKOVICI,Ж,croatian,3
2013,Број,BIJELJINA,Оба пола,croatian,134
2013,Број,BIJELJINA,M,croatian,34
2013,Број,BIJELJINA,Ж,croatian,100
2013,Број,BILECA,Оба пола,croatian,6
2013,Број,BILECA,M,croatian,0
2013,Број,BILECA,Ж,croatian,6
2013,Број,BRATUNAC,Оба пола,croatian,10
2013,Број,BRATUNAC,M,croatian,2
2013,Број,BRATUNAC,Ж,croatian,8
2013,Број,BROD,Оба пола,croatian,2842
2013,Број,BROD,M,croatian,1369
2013,Број,BROD,Ж,croatian,1473
2013,Број,VISEGRAD,Оба пола,croatian,6
2013,Број,VISEGRAD,M,croatian,0
2013,Број,VISEGRAD,Ж,croatian,6
2013,Број,VLASENICA,Оба пола,croatian,7
2013,Број,VLASENICA,M,croatian,2
2013,Број,VLASENICA,Ж,croatian,5
2013,Број,VUKOSAVLJE,Оба пола,croatian,663
2013,Број,VUKOSAVLJE,M,croatian,326
2013,Број,VUKOSAVLJE,Ж,croatian,337
2013,Број,GACKO,Оба пола,croatian,4
2013,Број,GACKO,M,croatian,4
2013,Број,GACKO,Ж,croatian,0
2013,Број,GRADISKA,Оба пола,croatian,358
2013,Број,GRADISKA,M,croatian,120
2013,Број,GRADISKA,Ж,croatian,238
2013,Број,DERVENTA,Оба пола,croatian,1861
2013,Број,DERVENTA,M,croatian,950
2013,Број,DERVENTA,Ж,croatian,911
2013,Број,DOBOJ,Оба пола,croatian,869
2013,Број,DOBOJ,M,croatian,378
2013,Број,DOBOJ,Ж,croatian,491
2013,Број,DONJI ZABAR,Оба пола,croatian,985
2013,Број,DONJI ZABAR,M,croatian,497
2013,Број,DONJI ZABAR,Ж,croatian,488
2013,Број,ZVORNIK,Оба пола,croatian,29
2013,Број,ZVORNIK,M,croatian,2
2013,Број,ZVORNIK,Ж,croatian,27
2013,Број,ISTOCNA ILIDZA,Оба пола,croatian,76
2013,Број,ISTOCNA ILIDZA,M,croatian,24
2013,Број,ISTOCNA ILIDZA,Ж,croatian,52
2013,Број,ISTOCNI DRVAR,Оба пола,croatian,1
2013,Број,ISTOCNI DRVAR,M,croatian,0
2013,Број,ISTOCNI DRVAR,Ж,croatian,1
2013,Број,ISTOCNI MOSTAR,Оба пола,croatian,11
2013,Број,ISTOCNI MOSTAR,M,croatian,8
2013,Број,ISTOCNI MOSTAR,Ж,croatian,3
2013,Број,ISTOCNI STARI GRAD,Оба пола,croatian,1
2013,Број,ISTOCNI STARI GRAD,M,croatian,0
2013,Број,ISTOCNI STARI GRAD,Ж,croatian,1
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,croatian,44
2013,Број,ISTOCNO NOVO SARAJEVO,M,croatian,14
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,croatian,30
2013,Број,JEZERO,Оба пола,croatian,3
2013,Број,JEZERO,M,croatian,2
2013,Број,JEZERO,Ж,croatian,1
2013,Број,KALINOVIK,Оба пола,croatian,3
2013,Број,KALINOVIK,M,croatian,1
2013,Број,KALINOVIK,Ж,croatian,2
2013,Број,KNEZEVO,Оба пола,croatian,17
2013,Број,KNEZEVO,M,croatian,4
2013,Број,KNEZEVO,Ж,croatian,13
2013,Број,KOZARSKA DUBICA,Оба пола,croatian,151
2013,Број,KOZARSKA DUBICA,M,croatian,39
2013,Број,KOZARSKA DUBICA,Ж,croatian,112
2013,Број,KOSTAJNICA,Оба пола,croatian,72
2013,Број,KOSTAJNICA,M,croatian,24
2013,Број,KOSTAJNICA,Ж,croatian,48
2013,Број,KOTOR VAROS,Оба пола,croatian,714
2013,Број,KOTOR VAROS,M,croatian,357
2013,Број,KOTOR VAROS,Ж,croatian,357
2013,Број,KRUPA NA UNI,Оба пола,croatian,3
2013,Број,KRUPA NA UNI,M,croatian,0
2013,Број,KRUPA NA UNI,Ж,croatian,3
2013,Број,KUPRES,Оба пола,croatian,0
2013,Број,KUPRES,M,croatian,0
2013,Број,KUPRES,Ж,croatian,0
2013,Број,LAKTASI,Оба пола,croatian,175
2013,Број,LAKTASI,M,croatian,60
2013,Број,LAKTASI,Ж,croatian,115
2013,Број,LOPARE,Оба пола,croatian,23
2013,Број,LOPARE,M,croatian,1
2013,Број,LOPARE,Ж,croatian,22
2013,Број,LJUBINJE,Оба пола,croatian,7
2013,Број,LJUBINJE,M,croatian,2
2013,Број,LJUBINJE,Ж,croatian,5
2013,Број,MILICI,Оба пола,croatian,4
2013,Број,MILICI,M,croatian,1
2013,Број,MILICI,Ж,croatian,3
2013,Број,MODRICA,Оба пола,croatian,1246
2013,Број,MODRICA,M,croatian,624
2013,Број,MODRICA,Ж,croatian,622
2013,Број,MRKONJIC GRAD,Оба пола,croatian,85
2013,Број,MRKONJIC GRAD,M,croatian,37
2013,Број,MRKONJIC GRAD,Ж,croatian,48
2013,Број,NEVESINJE,Оба пола,croatian,14
2013,Број,NEVESINJE,M,croatian,5
2013,Број,NEVESINJE,Ж,croatian,9
2013,Број,NOVI GRAD,Оба пола,croatian,79
2013,Број,NOVI GRAD,M,croatian,17
2013,Број,NOVI GRAD,Ж,croatian,62
2013,Број,NOVO GORAZDE,Оба пола,croatian,1
2013,Број,NOVO GORAZDE,M,croatian,0
2013,Број,NOVO GORAZDE,Ж,croatian,1
2013,Број,OSMACI,Оба пола,croatian,3
2013,Број,OSMACI,M,croatian,1
2013,Број,OSMACI,Ж,croatian,2
2013,Број,OSTRA LUKA,Оба пола,croatian,92
2013,Број,OSTRA LUKA,M,croatian,43
2013,Број,OSTRA LUKA,Ж,croatian,49
2013,Број,PALE,Оба пола,croatian,31
2013,Број,PALE,M,croatian,6
2013,Број,PALE,Ж,croatian,25
2013,Број,PELAGICEVO,Оба пола,croatian,1159
2013,Број,PELAGICEVO,M,croatian,571
2013,Број,PELAGICEVO,Ж,croatian,588
2013,Број,PETROVAC,Оба пола,croatian,0
2013,Број,PETROVAC,M,croatian,0
2013,Број,PETROVAC,Ж,croatian,0
2013,Број,PETROVO,Оба пола,croatian,12
2013,Број,PETROVO,M,croatian,2
2013,Број,PETROVO,Ж,croatian,10
2013,Број,PRIJEDOR,Оба пола,croatian,639
2013,Број,PRIJEDOR,M,croatian,284
2013,Број,PRIJEDOR,Ж,croatian,355
2013,Број,PRNJAVOR,Оба пола,croatian,171
2013,Број,PRNJAVOR,M,croatian,59
2013,Број,PRNJAVOR,Ж,croatian,112
2013,Број,RIBNIK,Оба пола,croatian,2
2013,Број,RIBNIK,M,croatian,0
2013,Број,RIBNIK,Ж,croatian,2
2013,Број,ROGATICA,Оба пола,croatian,7
2013,Број,ROGATICA,M,croatian,1
2013,Број,ROGATICA,Ж,croatian,6
2013,Број,RUDO,Оба пола,croatian,0
2013,Број,RUDO,M,croatian,0
2013,Број,RUDO,Ж,croatian,0
2013,Број,SOKOLAC,Оба пола,croatian,8
2013,Број,SOKOLAC,M,croatian,1
2013,Број,SOKOLAC,Ж,croatian,7
2013,Број,SRBAC,Оба пола,croatian,54
2013,Број,SRBAC,M,croatian,8
2013,Број,SRBAC,Ж,croatian,46
2013,Број,SREBRENICA,Оба пола,croatian,6
2013,Број,SREBRENICA,M,croatian,2
2013,Број,SREBRENICA,Ж,croatian,4
2013,Број,TESLIC,Оба пола,croatian,766
2013,Број,TESLIC,M,croatian,360
2013,Број,TESLIC,Ж,croatian,406
2013,Број,TREBINJE,Оба пола,croatian,149
2013,Број,TREBINJE,M,croatian,66
2013,Број,TREBINJE,Ж,croatian,83
2013,Број,TRNOVO,Оба пола,croatian,13
2013,Број,TRNOVO,M,croatian,5
2013,Број,TRNOVO,Ж,croatian,8
2013,Број,UGLJEVIK,Оба пола,croatian,14
2013,Број,UGLJEVIK,M,croatian,1
