Year,UNIT_MEASURE,type_of_education,Spol,Value
2018,Broj,arts_and_humanities,Ž,3
2018,Broj,services,Ž,0
2019,Broj,total,Oba spola,42
2019,Broj,"natural_sciences,_mathematics_and_statistics",Oba spola,2
2019,Broj,"engineering,_production_and_construction",Oba spola,1
2019,Broj,information_and_communication_technologie,Oba spola,25
2019,Broj,health_and_social_protection,Oba spola,2
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Oba spola,3
2019,Broj,"social_sciences,_journalism_and_information",Oba spola,1
2019,Broj,"business,_administration_and_law",Oba spola,3
2019,Broj,education,Oba spola,3
2019,Broj,arts_and_humanities,Oba spola,2
2019,Broj,services,Oba spola,0
2019,Broj,total,M,26
2019,Broj,"natural_sciences,_mathematics_and_statistics",M,2
2019,Broj,"engineering,_production_and_construction",M,0
2019,Broj,information_and_communication_technologie,M,19
2019,Broj,health_and_social_protection,M,2
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2019,Broj,"social_sciences,_journalism_and_information",M,0
2019,Broj,"business,_administration_and_law",M,2
2019,Broj,education,M,1
2019,Broj,arts_and_humanities,M,0
2019,Broj,services,M,0
2019,Broj,total,Ž,16
2019,Broj,"natural_sciences,_mathematics_and_statistics",Ž,0
2019,Broj,"engineering,_production_and_construction",Ž,1
2019,Broj,information_and_communication_technologie,Ž,6
2019,Broj,health_and_social_protection,Ž,0
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ž,3
2019,Broj,"social_sciences,_journalism_and_information",Ž,1
2019,Broj,"business,_administration_and_law",Ž,1
2019,Broj,education,Ž,2
2019,Broj,arts_and_humanities,Ž,2
2019,Broj,services,Ž,0
2020,Broj,total,Oba spola,64
2020,Broj,"natural_sciences,_mathematics_and_statistics",Oba spola,0
2020,Broj,"engineering,_production_and_construction",Oba spola,3
2020,Broj,information_and_communication_technologie,Oba spola,30
2020,Broj,health_and_social_protection,Oba spola,5
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Oba spola,2
2020,Broj,"social_sciences,_journalism_and_information",Oba spola,5
2020,Broj,"business,_administration_and_law",Oba spola,8
2020,Broj,education,Oba spola,2
2020,Broj,arts_and_humanities,Oba spola,9
2020,Broj,services,Oba spola,0
2020,Broj,total,M,34
2020,Broj,"natural_sciences,_mathematics_and_statistics",M,0
2020,Broj,"engineering,_production_and_construction",M,0
2020,Broj,information_and_communication_technologie,M,21
2020,Broj,health_and_social_protection,M,4
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2020,Broj,"social_sciences,_journalism_and_information",M,3
2020,Broj,"business,_administration_and_law",M,3
2020,Broj,education,M,0
2020,Broj,arts_and_humanities,M,2
2020,Broj,services,M,0
2020,Broj,total,Ž,30
2020,Broj,"natural_sciences,_mathematics_and_statistics",Ž,0
2020,Broj,"engineering,_production_and_construction",Ž,3
2020,Broj,information_and_communication_technologie,Ž,9
2020,Broj,health_and_social_protection,Ž,1
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ž,1
2020,Broj,"social_sciences,_journalism_and_information",Ž,2
2020,Broj,"business,_administration_and_law",Ž,5
2020,Broj,education,Ž,2
2020,Broj,arts_and_humanities,Ž,7
2020,Broj,services,Ž,0
