Year,UNIT_MEASURE,Sex,Cause of death (as per ICD-10 codes),Value
2004,Number,M,diseases_of_the_blood_and_blood_forming_organs,2
2005,Number,M,diseases_of_the_blood_and_blood_forming_organs,5
2006,Number,M,diseases_of_the_blood_and_blood_forming_organs,2
2007,Number,M,diseases_of_the_blood_and_blood_forming_organs,6
2008,Number,M,diseases_of_the_blood_and_blood_forming_organs,3
2009,Number,M,diseases_of_the_blood_and_blood_forming_organs,4
2010,Number,M,diseases_of_the_blood_and_blood_forming_organs,5
2011,Number,M,diseases_of_the_blood_and_blood_forming_organs,7
2012,Number,M,diseases_of_the_blood_and_blood_forming_organs,9
2013,Number,M,diseases_of_the_blood_and_blood_forming_organs,8
2014,Number,M,diseases_of_the_blood_and_blood_forming_organs,2
2015,Number,M,diseases_of_the_blood_and_blood_forming_organs,9
2016,Number,M,diseases_of_the_blood_and_blood_forming_organs,9
2017,Number,M,diseases_of_the_blood_and_blood_forming_organs,3
2018,Number,M,diseases_of_the_blood_and_blood_forming_organs,18
2019,Number,M,diseases_of_the_blood_and_blood_forming_organs,8
2020,Number,M,diseases_of_the_blood_and_blood_forming_organs,12
2003,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,71
2004,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,68
2005,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,286
2006,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,306
2007,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,349
2008,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,310
2009,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,361
2010,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,289
2011,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,257
2012,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,211
2013,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,341
2014,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,411
2015,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,362
2016,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,313
2017,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,373
2018,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,386
2019,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,261
2020,Number,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,340
2003,Number,M,mental_disorders_and_behavioral_disorders,24
2004,Number,M,mental_disorders_and_behavioral_disorders,46
2005,Number,M,mental_disorders_and_behavioral_disorders,64
2006,Number,M,mental_disorders_and_behavioral_disorders,67
2007,Number,M,mental_disorders_and_behavioral_disorders,87
2008,Number,M,mental_disorders_and_behavioral_disorders,82
2009,Number,M,mental_disorders_and_behavioral_disorders,92
2010,Number,M,mental_disorders_and_behavioral_disorders,73
2011,Number,M,mental_disorders_and_behavioral_disorders,58
2012,Number,M,mental_disorders_and_behavioral_disorders,46
2013,Number,M,mental_disorders_and_behavioral_disorders,64
2014,Number,M,mental_disorders_and_behavioral_disorders,63
2015,Number,M,mental_disorders_and_behavioral_disorders,44
2016,Number,M,mental_disorders_and_behavioral_disorders,72
2017,Number,M,mental_disorders_and_behavioral_disorders,70
2018,Number,M,mental_disorders_and_behavioral_disorders,55
2019,Number,M,mental_disorders_and_behavioral_disorders,50
2020,Number,M,mental_disorders_and_behavioral_disorders,43
2003,Number,M,diseases_of_the_nervous_system,39
2004,Number,M,diseases_of_the_nervous_system,53
2005,Number,M,diseases_of_the_nervous_system,86
2006,Number,M,diseases_of_the_nervous_system,111
2007,Number,M,diseases_of_the_nervous_system,85
2008,Number,M,diseases_of_the_nervous_system,91
2009,Number,M,diseases_of_the_nervous_system,78
2010,Number,M,diseases_of_the_nervous_system,76
2011,Number,M,diseases_of_the_nervous_system,112
2012,Number,M,diseases_of_the_nervous_system,105
2013,Number,M,diseases_of_the_nervous_system,98
2014,Number,M,diseases_of_the_nervous_system,97
2015,Number,M,diseases_of_the_nervous_system,106
2016,Number,M,diseases_of_the_nervous_system,96
2017,Number,M,diseases_of_the_nervous_system,102
2018,Number,M,diseases_of_the_nervous_system,82
2019,Number,M,diseases_of_the_nervous_system,84
2020,Number,M,diseases_of_the_nervous_system,91
2003,Number,M,eye_diseases_and_eye_soldering_disease,x
2004,Number,M,eye_diseases_and_eye_soldering_disease,x
2005,Number,M,eye_diseases_and_eye_soldering_disease,x
2006,Number,M,eye_diseases_and_eye_soldering_disease,x
2007,Number,M,eye_diseases_and_eye_soldering_disease,x
2008,Number,M,eye_diseases_and_eye_soldering_disease,x
2009,Number,M,eye_diseases_and_eye_soldering_disease,x
2010,Number,M,eye_diseases_and_eye_soldering_disease,x
2011,Number,M,eye_diseases_and_eye_soldering_disease,x
2012,Number,M,eye_diseases_and_eye_soldering_disease,x
2013,Number,M,eye_diseases_and_eye_soldering_disease,x
2014,Number,M,eye_diseases_and_eye_soldering_disease,x
2015,Number,M,eye_diseases_and_eye_soldering_disease,x
2016,Number,M,eye_diseases_and_eye_soldering_disease,x
2017,Number,M,eye_diseases_and_eye_soldering_disease,x
2018,Number,M,eye_diseases_and_eye_soldering_disease,x
2019,Number,M,eye_diseases_and_eye_soldering_disease,x
2020,Number,M,eye_diseases_and_eye_soldering_disease,x
2003,Number,M,diseases_of_ear_and_mastoid_process,x
2004,Number,M,diseases_of_ear_and_mastoid_process,x
2005,Number,M,diseases_of_ear_and_mastoid_process,1
2006,Number,M,diseases_of_ear_and_mastoid_process,x
2007,Number,M,diseases_of_ear_and_mastoid_process,1
2008,Number,M,diseases_of_ear_and_mastoid_process,x
2009,Number,M,diseases_of_ear_and_mastoid_process,x
2010,Number,M,diseases_of_ear_and_mastoid_process,x
2011,Number,M,diseases_of_ear_and_mastoid_process,x
2012,Number,M,diseases_of_ear_and_mastoid_process,x
2013,Number,M,diseases_of_ear_and_mastoid_process,x
2014,Number,M,diseases_of_ear_and_mastoid_process,x
2015,Number,M,diseases_of_ear_and_mastoid_process,x
2016,Number,M,diseases_of_ear_and_mastoid_process,x
2017,Number,M,diseases_of_ear_and_mastoid_process,x
2018,Number,M,diseases_of_ear_and_mastoid_process,x
2019,Number,M,diseases_of_ear_and_mastoid_process,x
2020,Number,M,diseases_of_ear_and_mastoid_process,x
2003,Number,M,diseases_of_the_circulatory_system,3323
2004,Number,M,diseases_of_the_circulatory_system,3383
2005,Number,M,diseases_of_the_circulatory_system,3325
2006,Number,M,diseases_of_the_circulatory_system,3005
2007,Number,M,diseases_of_the_circulatory_system,3233
2008,Number,M,diseases_of_the_circulatory_system,3209
2009,Number,M,diseases_of_the_circulatory_system,3271
2010,Number,M,diseases_of_the_circulatory_system,3285
2011,Number,M,diseases_of_the_circulatory_system,3330
2012,Number,M,diseases_of_the_circulatory_system,3516
2013,Number,M,diseases_of_the_circulatory_system,3062
2014,Number,M,diseases_of_the_circulatory_system,3142
2015,Number,M,diseases_of_the_circulatory_system,3311
2016,Number,M,diseases_of_the_circulatory_system,3177
2017,Number,M,diseases_of_the_circulatory_system,3220
2018,Number,M,diseases_of_the_circulatory_system,3084
2019,Number,M,diseases_of_the_circulatory_system,3440
2020,Number,M,diseases_of_the_circulatory_system,3452
2003,Number,M,diseases_of_the_respiratory_system,184
2004,Number,M,diseases_of_the_respiratory_system,211
2005,Number,M,diseases_of_the_respiratory_system,284
2006,Number,M,diseases_of_the_respiratory_system,292
2007,Number,M,diseases_of_the_respiratory_system,282
2008,Number,M,diseases_of_the_respiratory_system,276
2009,Number,M,diseases_of_the_respiratory_system,254
2010,Number,M,diseases_of_the_respiratory_system,277
2011,Number,M,diseases_of_the_respiratory_system,303
2012,Number,M,diseases_of_the_respiratory_system,263
2013,Number,M,diseases_of_the_respiratory_system,334
2014,Number,M,diseases_of_the_respiratory_system,315
2015,Number,M,diseases_of_the_respiratory_system,370
2016,Number,M,diseases_of_the_respiratory_system,306
2017,Number,M,diseases_of_the_respiratory_system,333
2018,Number,M,diseases_of_the_respiratory_system,344
2019,Number,M,diseases_of_the_respiratory_system,338
2020,Number,M,diseases_of_the_respiratory_system,377
2003,Number,M,diseases_of_the_digestive_system,216
2004,Number,M,diseases_of_the_digestive_system,206
2005,Number,M,diseases_of_the_digestive_system,219
2006,Number,M,diseases_of_the_digestive_system,233
2007,Number,M,diseases_of_the_digestive_system,249
2008,Number,M,diseases_of_the_digestive_system,235
2009,Number,M,diseases_of_the_digestive_system,223
2010,Number,M,diseases_of_the_digestive_system,242
2011,Number,M,diseases_of_the_digestive_system,255
2012,Number,M,diseases_of_the_digestive_system,248
2013,Number,M,diseases_of_the_digestive_system,219
2014,Number,M,diseases_of_the_digestive_system,241
2015,Number,M,diseases_of_the_digestive_system,249
2016,Number,M,diseases_of_the_digestive_system,265
2017,Number,M,diseases_of_the_digestive_system,229
2018,Number,M,diseases_of_the_digestive_system,290
2019,Number,M,diseases_of_the_digestive_system,239
2020,Number,M,diseases_of_the_digestive_system,269
2003,Number,M,skin_and_subcutaneous_tissue_disorders,0
2004,Number,M,skin_and_subcutaneous_tissue_disorders,0
2005,Number,M,skin_and_subcutaneous_tissue_disorders,0
2006,Number,M,skin_and_subcutaneous_tissue_disorders,0
2007,Number,M,skin_and_subcutaneous_tissue_disorders,0
2008,Number,M,skin_and_subcutaneous_tissue_disorders,0
2009,Number,M,skin_and_subcutaneous_tissue_disorders,1
2010,Number,M,skin_and_subcutaneous_tissue_disorders,4
2011,Number,M,skin_and_subcutaneous_tissue_disorders,0
2012,Number,M,skin_and_subcutaneous_tissue_disorders,3
2013,Number,M,skin_and_subcutaneous_tissue_disorders,9
2014,Number,M,skin_and_subcutaneous_tissue_disorders,13
2015,Number,M,skin_and_subcutaneous_tissue_disorders,7
2016,Number,M,skin_and_subcutaneous_tissue_disorders,7
2017,Number,M,skin_and_subcutaneous_tissue_disorders,5
2018,Number,M,skin_and_subcutaneous_tissue_disorders,12
2019,Number,M,skin_and_subcutaneous_tissue_disorders,7
2020,Number,M,skin_and_subcutaneous_tissue_disorders,13
2003,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,3
2004,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,1
2005,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,5
2006,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,1
2007,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,4
2008,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,3
2009,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,2
2010,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,3
2011,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,4
2012,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,4
2013,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,9
2014,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,8
2015,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,12
2016,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,6
2017,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,8
2018,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,4
2019,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,4
2020,Number,M,diseases_of_the_musculoskeletal_system_and_connective_tissue,7
2003,Number,M,diseases_of_the_genitourinary_system,123
2004,Number,M,diseases_of_the_genitourinary_system,113
2005,Number,M,diseases_of_the_genitourinary_system,160
2006,Number,M,diseases_of_the_genitourinary_system,152
2007,Number,M,diseases_of_the_genitourinary_system,163
2008,Number,M,diseases_of_the_genitourinary_system,155
2009,Number,M,diseases_of_the_genitourinary_system,139
2010,Number,M,diseases_of_the_genitourinary_system,140
2011,Number,M,diseases_of_the_genitourinary_system,101
2012,Number,M,diseases_of_the_genitourinary_system,116
2013,Number,M,diseases_of_the_genitourinary_system,121
2014,Number,M,diseases_of_the_genitourinary_system,73
2015,Number,M,diseases_of_the_genitourinary_system,93
2016,Number,M,diseases_of_the_genitourinary_system,117
2017,Number,M,diseases_of_the_genitourinary_system,96
2018,Number,M,diseases_of_the_genitourinary_system,117
2019,Number,M,diseases_of_the_genitourinary_system,104
2020,Number,M,diseases_of_the_genitourinary_system,113
2003,Number,M,certain_conditions_occurred_in_the_perinatal_period,23
2004,Number,M,certain_conditions_occurred_in_the_perinatal_period,28
2005,Number,M,certain_conditions_occurred_in_the_perinatal_period,17
2006,Number,M,certain_conditions_occurred_in_the_perinatal_period,26
2007,Number,M,certain_conditions_occurred_in_the_perinatal_period,15
2008,Number,M,certain_conditions_occurred_in_the_perinatal_period,12
2009,Number,M,certain_conditions_occurred_in_the_perinatal_period,22
2010,Number,M,certain_conditions_occurred_in_the_perinatal_period,13
2011,Number,M,certain_conditions_occurred_in_the_perinatal_period,20
2012,Number,M,certain_conditions_occurred_in_the_perinatal_period,18
2013,Number,M,certain_conditions_occurred_in_the_perinatal_period,13
2014,Number,M,certain_conditions_occurred_in_the_perinatal_period,7
2015,Number,M,certain_conditions_occurred_in_the_perinatal_period,2
2016,Number,M,certain_conditions_occurred_in_the_perinatal_period,13
2017,Number,M,certain_conditions_occurred_in_the_perinatal_period,7
2018,Number,M,certain_conditions_occurred_in_the_perinatal_period,3
2019,Number,M,certain_conditions_occurred_in_the_perinatal_period,6
2020,Number,M,certain_conditions_occurred_in_the_perinatal_period,16
2003,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,7
2004,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2005,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,6
2006,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,7
2007,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,8
2008,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2009,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,7
2010,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,10
2011,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,7
2012,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,5
2013,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,7
2014,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,3
2015,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,3
2016,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,3
2017,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,4
2018,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,2
2019,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,0
2020,Number,M,congenital_anomalies_deformities_and_chromosomal_abnormalities,3
2003,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,821
2004,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,726
2005,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,659
2006,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,627
2007,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,638
2008,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,496
2009,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,485
2010,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,446
2011,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,302
2012,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,277
2013,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,643
2014,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,718
2015,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,780
2016,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,598
2017,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,720
2018,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,844
2019,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,1048
2020,Number,M,symptoms_signs_and_abnormal_clinical_and_laboratory_findings,834
2003,Number,M,injuries_poisonings_and_consequences_of_external_factors,444
2004,Number,M,injuries_poisonings_and_consequences_of_external_factors,411
2005,Number,M,injuries_poisonings_and_consequences_of_external_factors,463
2006,Number,M,injuries_poisonings_and_consequences_of_external_factors,466
2007,Number,M,injuries_poisonings_and_consequences_of_external_factors,488
2008,Number,M,injuries_poisonings_and_consequences_of_external_factors,451
2009,Number,M,injuries_poisonings_and_consequences_of_external_factors,424
2010,Number,M,injuries_poisonings_and_consequences_of_external_factors,405
2011,Number,M,injuries_poisonings_and_consequences_of_external_factors,482
2012,Number,M,injuries_poisonings_and_consequences_of_external_factors,420
2013,Number,M,injuries_poisonings_and_consequences_of_external_factors,377
2014,Number,M,injuries_poisonings_and_consequences_of_external_factors,412
2015,Number,M,injuries_poisonings_and_consequences_of_external_factors,417
2016,Number,M,injuries_poisonings_and_consequences_of_external_factors,373
2017,Number,M,injuries_poisonings_and_consequences_of_external_factors,349
2018,Number,M,injuries_poisonings_and_consequences_of_external_factors,370
2019,Number,M,injuries_poisonings_and_consequences_of_external_factors,340
2020,Number,M,injuries_poisonings_and_consequences_of_external_factors,304
2003,Number,M,special_purpose_codes,0
2004,Number,M,special_purpose_codes,0
2005,Number,M,special_purpose_codes,0
2006,Number,M,special_purpose_codes,0
2007,Number,M,special_purpose_codes,0
2008,Number,M,special_purpose_codes,0
2009,Number,M,special_purpose_codes,0
2010,Number,M,special_purpose_codes,0
2011,Number,M,special_purpose_codes,0
2012,Number,M,special_purpose_codes,0
2013,Number,M,special_purpose_codes,0
2014,Number,M,special_purpose_codes,0
2015,Number,M,special_purpose_codes,0
2016,Number,M,special_purpose_codes,0
2017,Number,M,special_purpose_codes,0
2018,Number,M,special_purpose_codes,0
2019,Number,M,special_purpose_codes,0
2020,Number,M,special_purpose_codes,1030
2003,Number,F,Deaths,6184
2004,Number,F,Deaths,6347
2005,Number,F,Deaths,6563
2006,Number,F,Deaths,6328
2007,Number,F,Deaths,6844
2008,Number,F,Deaths,6443
2009,Number,F,Deaths,6676
2010,Number,F,Deaths,6582
2011,Number,F,Deaths,6657
2012,Number,F,Deaths,6732
2013,Number,F,Deaths,6741
2014,Number,F,Deaths,7023
2015,Number,F,Deaths,7419
2016,Number,F,Deaths,6772
2017,Number,F,Deaths,7300
2018,Number,F,Deaths,7314
2019,Number,F,Deaths,7328
2020,Number,F,Deaths,7969
2003,Number,F,infectious_and_parasitic_diseases,30
2004,Number,F,infectious_and_parasitic_diseases,49
2005,Number,F,infectious_and_parasitic_diseases,50
2006,Number,F,infectious_and_parasitic_diseases,38
2007,Number,F,infectious_and_parasitic_diseases,33
2008,Number,F,infectious_and_parasitic_diseases,46
2009,Number,F,infectious_and_parasitic_diseases,43
2010,Number,F,infectious_and_parasitic_diseases,37
2011,Number,F,infectious_and_parasitic_diseases,38
2012,Number,F,infectious_and_parasitic_diseases,66
2013,Number,F,infectious_and_parasitic_diseases,47
2014,Number,F,infectious_and_parasitic_diseases,56
2015,Number,F,infectious_and_parasitic_diseases,67
2016,Number,F,infectious_and_parasitic_diseases,83
2017,Number,F,infectious_and_parasitic_diseases,62
2018,Number,F,infectious_and_parasitic_diseases,75
2019,Number,F,infectious_and_parasitic_diseases,81
2020,Number,F,infectious_and_parasitic_diseases,75
2003,Number,F,"(C00-C97,D00-D48) Neoplasms",950
2004,Number,F,"(C00-C97,D00-D48) Neoplasms",928
2005,Number,F,"(C00-C97,D00-D48) Neoplasms",1072
2006,Number,F,"(C00-C97,D00-D48) Neoplasms",1015
2007,Number,F,"(C00-C97,D00-D48) Neoplasms",1109
2008,Number,F,"(C00-C97,D00-D48) Neoplasms",1075
2009,Number,F,"(C00-C97,D00-D48) Neoplasms",1161
2010,Number,F,"(C00-C97,D00-D48) Neoplasms",1105
2011,Number,F,"(C00-C97,D00-D48) Neoplasms",1118
2012,Number,F,"(C00-C97,D00-D48) Neoplasms",1183
2013,Number,F,"(C00-C97,D00-D48) Neoplasms",1231
2014,Number,F,"(C00-C97,D00-D48) Neoplasms",1353
2015,Number,F,"(C00-C97,D00-D48) Neoplasms",1355
2016,Number,F,"(C00-C97,D00-D48) Neoplasms",1209
2017,Number,F,"(C00-C97,D00-D48) Neoplasms",1268
2018,Number,F,"(C00-C97,D00-D48) Neoplasms",1209
2019,Number,F,"(C00-C97,D00-D48) Neoplasms",1186
2020,Number,F,"(C00-C97,D00-D48) Neoplasms",1097
2003,Number,F,diseases_of_the_blood_and_blood_forming_organs,2
2004,Number,F,diseases_of_the_blood_and_blood_forming_organs,11
2005,Number,F,diseases_of_the_blood_and_blood_forming_organs,10
2006,Number,F,diseases_of_the_blood_and_blood_forming_organs,4
2007,Number,F,diseases_of_the_blood_and_blood_forming_organs,10
2008,Number,F,diseases_of_the_blood_and_blood_forming_organs,5
2009,Number,F,diseases_of_the_blood_and_blood_forming_organs,9
2010,Number,F,diseases_of_the_blood_and_blood_forming_organs,10
2011,Number,F,diseases_of_the_blood_and_blood_forming_organs,10
2012,Number,F,diseases_of_the_blood_and_blood_forming_organs,6
2013,Number,F,diseases_of_the_blood_and_blood_forming_organs,8
2014,Number,F,diseases_of_the_blood_and_blood_forming_organs,8
2015,Number,F,diseases_of_the_blood_and_blood_forming_organs,10
2016,Number,F,diseases_of_the_blood_and_blood_forming_organs,15
2017,Number,F,diseases_of_the_blood_and_blood_forming_organs,17
2018,Number,F,diseases_of_the_blood_and_blood_forming_organs,18
2019,Number,F,diseases_of_the_blood_and_blood_forming_organs,16
2020,Number,F,diseases_of_the_blood_and_blood_forming_organs,15
2003,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,109
2004,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,92
2005,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,441
2006,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,484
2007,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,442
2008,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,454
2009,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,530
2010,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,402
2011,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,397
2012,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,350
2013,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,459
2014,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,501
2015,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,400
2016,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,378
2017,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,452
2018,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,458
2019,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,343
2020,Number,F,diseases_of_the_endocrine_glands_nutrition_and_metabolism,485
2003,Number,F,mental_disorders_and_behavioral_disorders,9
2004,Number,F,mental_disorders_and_behavioral_disorders,12
2005,Number,F,mental_disorders_and_behavioral_disorders,16
2006,Number,F,mental_disorders_and_behavioral_disorders,15
2007,Number,F,mental_disorders_and_behavioral_disorders,20
2008,Number,F,mental_disorders_and_behavioral_disorders,19
2009,Number,F,mental_disorders_and_behavioral_disorders,30
2010,Number,F,mental_disorders_and_behavioral_disorders,11
2011,Number,F,mental_disorders_and_behavioral_disorders,14
2012,Number,F,mental_disorders_and_behavioral_disorders,12
2013,Number,F,mental_disorders_and_behavioral_disorders,31
2014,Number,F,mental_disorders_and_behavioral_disorders,21
2015,Number,F,mental_disorders_and_behavioral_disorders,28
2016,Number,F,mental_disorders_and_behavioral_disorders,26
2017,Number,F,mental_disorders_and_behavioral_disorders,43
2018,Number,F,mental_disorders_and_behavioral_disorders,30
2019,Number,F,mental_disorders_and_behavioral_disorders,22
2020,Number,F,mental_disorders_and_behavioral_disorders,29
2003,Number,F,diseases_of_the_nervous_system,26
2004,Number,F,diseases_of_the_nervous_system,38
