Year,UNIT_MEASURE,ADMIN_AREA,SEX,Mother tounge,Value
2013,NUMBER,rogatica,M,_T,5053
2013,NUMBER,rogatica,F,_T,5249
2013,NUMBER,rudo,_T,_T,7578
2013,NUMBER,rudo,M,_T,3840
2013,NUMBER,rudo,F,_T,3738
2013,NUMBER,sokolac,_T,_T,11620
2013,NUMBER,sokolac,M,_T,5723
2013,NUMBER,sokolac,F,_T,5897
2013,NUMBER,srbac,_T,_T,16933
2013,NUMBER,srbac,M,_T,8295
2013,NUMBER,srbac,F,_T,8638
2013,NUMBER,srebrenica,_T,_T,11698
2013,NUMBER,srebrenica,M,_T,5714
2013,NUMBER,srebrenica,F,_T,5984
2013,NUMBER,teslic,_T,_T,37236
2013,NUMBER,teslic,M,_T,17894
2013,NUMBER,teslic,F,_T,19342
2013,NUMBER,grad_trebinje,_T,_T,28239
2013,NUMBER,grad_trebinje,M,_T,13760
2013,NUMBER,grad_trebinje,F,_T,14479
2013,NUMBER,trnovo,_T,_T,1983
2013,NUMBER,trnovo,M,_T,953
2013,NUMBER,trnovo,F,_T,1030
2013,NUMBER,ugljevik,_T,_T,15118
2013,NUMBER,ugljevik,M,_T,7626
2013,NUMBER,ugljevik,F,_T,7492
2013,NUMBER,foca,_T,_T,17580
2013,NUMBER,foca,M,_T,8880
2013,NUMBER,foca,F,_T,8700
2013,NUMBER,han_pijesak,_T,_T,3445
2013,NUMBER,han_pijesak,M,_T,1632
2013,NUMBER,han_pijesak,F,_T,1813
2013,NUMBER,cajnice,_T,_T,4679
2013,NUMBER,cajnice,M,_T,2347
2013,NUMBER,cajnice,F,_T,2332
2013,NUMBER,celinac,_T,_T,15117
2013,NUMBER,celinac,M,_T,7477
2013,NUMBER,celinac,F,_T,7640
2013,NUMBER,samac,_T,_T,16308
2013,NUMBER,samac,M,_T,7908
2013,NUMBER,samac,F,_T,8400
2013,NUMBER,sekovici,_T,_T,6323
2013,NUMBER,sekovici,M,_T,3103
2013,NUMBER,sekovici,F,_T,3220
2013,NUMBER,sipovo,_T,_T,9969
2013,NUMBER,sipovo,M,_T,5046
2013,NUMBER,sipovo,F,_T,4923
2013,NUMBER,republika_srpska,_T,bosnian,150221
2013,NUMBER,republika_srpska,M,bosnian,73026
2013,NUMBER,republika_srpska,F,bosnian,77195
2013,NUMBER,grad_banja_luka,_T,bosnian,6792
2013,NUMBER,grad_banja_luka,M,bosnian,3152
2013,NUMBER,grad_banja_luka,F,bosnian,3640
2013,NUMBER,berkovici,_T,bosnian,155
2013,NUMBER,berkovici,M,bosnian,87
2013,NUMBER,berkovici,F,bosnian,68
2013,NUMBER,grad_bijeljina,_T,bosnian,11651
2013,NUMBER,grad_bijeljina,M,bosnian,5712
2013,NUMBER,grad_bijeljina,F,bosnian,5939
2013,NUMBER,bileca,_T,bosnian,21
2013,NUMBER,bileca,M,bosnian,14
2013,NUMBER,bileca,F,bosnian,7
2013,NUMBER,bratunac,_T,bosnian,6596
2013,NUMBER,bratunac,M,bosnian,3217
2013,NUMBER,bratunac,F,bosnian,3379
2013,NUMBER,brod,_T,bosnian,1397
2013,NUMBER,brod,M,bosnian,680
2013,NUMBER,brod,F,bosnian,717
2013,NUMBER,visegrad,_T,bosnian,887
2013,NUMBER,visegrad,M,bosnian,449
2013,NUMBER,visegrad,F,bosnian,438
2013,NUMBER,vlasenica,_T,bosnian,3372
2013,NUMBER,vlasenica,M,bosnian,1648
2013,NUMBER,vlasenica,F,bosnian,1724
2013,NUMBER,vukosavlje,_T,bosnian,2098
2013,NUMBER,vukosavlje,M,bosnian,1062
2013,NUMBER,vukosavlje,F,bosnian,1036
2013,NUMBER,gacko,_T,bosnian,331
2013,NUMBER,gacko,M,bosnian,178
2013,NUMBER,gacko,F,bosnian,153
2013,NUMBER,grad_gradiska,_T,bosnian,6335
2013,NUMBER,grad_gradiska,M,bosnian,3083
2013,NUMBER,grad_gradiska,F,bosnian,3252
2013,NUMBER,grad_derventa,_T,bosnian,1791
2013,NUMBER,grad_derventa,M,bosnian,857
2013,NUMBER,grad_derventa,F,bosnian,934
2013,NUMBER,grad_doboj,_T,bosnian,14749
2013,NUMBER,grad_doboj,M,bosnian,7085
2013,NUMBER,grad_doboj,F,bosnian,7664
2013,NUMBER,donji_zabar,_T,bosnian,11
2013,NUMBER,donji_zabar,M,bosnian,3
2013,NUMBER,donji_zabar,F,bosnian,8
2013,NUMBER,grad_zvornik,_T,bosnian,16813
2013,NUMBER,grad_zvornik,M,bosnian,8218
2013,NUMBER,grad_zvornik,F,bosnian,8595
2013,NUMBER,istocna_ilidza,_T,bosnian,691
2013,NUMBER,istocna_ilidza,M,bosnian,322
2013,NUMBER,istocna_ilidza,F,bosnian,369
2013,NUMBER,istocni_drvar,_T,bosnian,0
2013,NUMBER,istocni_drvar,M,bosnian,0
2013,NUMBER,istocni_drvar,F,bosnian,0
2013,NUMBER,istocni_mostar,_T,bosnian,78
2013,NUMBER,istocni_mostar,M,bosnian,45
2013,NUMBER,istocni_mostar,F,bosnian,33
2013,NUMBER,istocni_stari_grad,_T,bosnian,44
2013,NUMBER,istocni_stari_grad,M,bosnian,27
2013,NUMBER,istocni_stari_grad,F,bosnian,17
2013,NUMBER,istocno_novo_sarajevo,_T,bosnian,71
2013,NUMBER,istocno_novo_sarajevo,M,bosnian,29
2013,NUMBER,istocno_novo_sarajevo,F,bosnian,42
2013,NUMBER,jezero,_T,bosnian,252
2013,NUMBER,jezero,M,bosnian,118
2013,NUMBER,jezero,F,bosnian,134
2013,NUMBER,kalinovik,_T,bosnian,37
2013,NUMBER,kalinovik,M,bosnian,15
2013,NUMBER,kalinovik,F,bosnian,22
2013,NUMBER,knezevo,_T,bosnian,404
2013,NUMBER,knezevo,M,bosnian,185
2013,NUMBER,knezevo,F,bosnian,219
2013,NUMBER,kozarska_dubica,_T,bosnian,1922
2013,NUMBER,kozarska_dubica,M,bosnian,927
2013,NUMBER,kozarska_dubica,F,bosnian,995
2013,NUMBER,kostajnica,_T,bosnian,1283
2013,NUMBER,kostajnica,M,bosnian,626
2013,NUMBER,kostajnica,F,bosnian,657
2013,NUMBER,kotor_varos,_T,bosnian,4517
2013,NUMBER,kotor_varos,M,bosnian,2173
2013,NUMBER,kotor_varos,F,bosnian,2344
2013,NUMBER,krupa_na_uni,_T,bosnian,3
2013,NUMBER,krupa_na_uni,M,bosnian,1
2013,NUMBER,krupa_na_uni,F,bosnian,2
2013,NUMBER,kupres,_T,bosnian,0
2013,NUMBER,kupres,M,bosnian,0
2013,NUMBER,kupres,F,bosnian,0
2013,NUMBER,laktasi,_T,bosnian,112
2013,NUMBER,laktasi,M,bosnian,58
2013,NUMBER,laktasi,F,bosnian,54
2013,NUMBER,lopare,_T,bosnian,1315
2013,NUMBER,lopare,M,bosnian,648
2013,NUMBER,lopare,F,bosnian,667
2013,NUMBER,ljubinje,_T,bosnian,10
2013,NUMBER,ljubinje,M,bosnian,5
2013,NUMBER,ljubinje,F,bosnian,5
2013,NUMBER,milici,_T,bosnian,3541
2013,NUMBER,milici,M,bosnian,1751
2013,NUMBER,milici,F,bosnian,1790
2013,NUMBER,modrica,_T,bosnian,3008
2013,NUMBER,modrica,M,bosnian,1426
2013,NUMBER,modrica,F,bosnian,1582
2013,NUMBER,mrkonjic_grad,_T,bosnian,358
2013,NUMBER,mrkonjic_grad,M,bosnian,172
2013,NUMBER,mrkonjic_grad,F,bosnian,186
2013,NUMBER,nevesinje,_T,bosnian,507
2013,NUMBER,nevesinje,M,bosnian,261
2013,NUMBER,nevesinje,F,bosnian,246
2013,NUMBER,novi_grad,_T,bosnian,5260
2013,NUMBER,novi_grad,M,bosnian,2630
2013,NUMBER,novi_grad,F,bosnian,2630
2013,NUMBER,novo_gorazde,_T,bosnian,1338
2013,NUMBER,novo_gorazde,M,bosnian,671
2013,NUMBER,novo_gorazde,F,bosnian,667
2013,NUMBER,osmaci,_T,bosnian,2680
2013,NUMBER,osmaci,M,bosnian,1323
2013,NUMBER,osmaci,F,bosnian,1357
2013,NUMBER,ostra_luka,_T,bosnian,39
2013,NUMBER,ostra_luka,M,bosnian,16
2013,NUMBER,ostra_luka,F,bosnian,23
2013,NUMBER,pale,_T,bosnian,170
2013,NUMBER,pale,M,bosnian,89
2013,NUMBER,pale,F,bosnian,81
2013,NUMBER,pelagicevo,_T,bosnian,24
2013,NUMBER,pelagicevo,M,bosnian,6
2013,NUMBER,pelagicevo,F,bosnian,18
2013,NUMBER,petrovac,_T,bosnian,0
2013,NUMBER,petrovac,M,bosnian,0
2013,NUMBER,petrovac,F,bosnian,0
2013,NUMBER,petrovo,_T,bosnian,7
2013,NUMBER,petrovo,M,bosnian,4
2013,NUMBER,petrovo,F,bosnian,3
2013,NUMBER,grad_prijedor,_T,bosnian,22548
2013,NUMBER,grad_prijedor,M,bosnian,10781
2013,NUMBER,grad_prijedor,F,bosnian,11767
2013,NUMBER,prnjavor,_T,bosnian,2792
2013,NUMBER,prnjavor,M,bosnian,1344
2013,NUMBER,prnjavor,F,bosnian,1448
2013,NUMBER,ribnik,_T,bosnian,3
2013,NUMBER,ribnik,M,bosnian,1
2013,NUMBER,ribnik,F,bosnian,2
2013,NUMBER,rogatica,_T,bosnian,1022
2013,NUMBER,rogatica,M,bosnian,525
2013,NUMBER,rogatica,F,bosnian,497
2013,NUMBER,rudo,_T,bosnian,586
2013,NUMBER,rudo,M,bosnian,308
2013,NUMBER,rudo,F,bosnian,278
2013,NUMBER,sokolac,_T,bosnian,645
2013,NUMBER,sokolac,M,bosnian,340
2013,NUMBER,sokolac,F,bosnian,305
2013,NUMBER,srbac,_T,bosnian,389
2013,NUMBER,srbac,M,bosnian,181
2013,NUMBER,srbac,F,bosnian,208
2013,NUMBER,srebrenica,_T,bosnian,6145
2013,NUMBER,srebrenica,M,bosnian,2921
2013,NUMBER,srebrenica,F,bosnian,3224
2013,NUMBER,teslic,_T,bosnian,7090
2013,NUMBER,teslic,M,bosnian,3489
2013,NUMBER,teslic,F,bosnian,3601
2013,NUMBER,grad_trebinje,_T,bosnian,860
2013,NUMBER,grad_trebinje,M,bosnian,425
2013,NUMBER,grad_trebinje,F,bosnian,435
2013,NUMBER,trnovo,_T,bosnian,820
2013,NUMBER,trnovo,M,bosnian,406
2013,NUMBER,trnovo,F,bosnian,414
2013,NUMBER,ugljevik,_T,bosnian,2000
2013,NUMBER,ugljevik,M,bosnian,975
2013,NUMBER,ugljevik,F,bosnian,1025
2013,NUMBER,foca,_T,bosnian,1182
2013,NUMBER,foca,M,bosnian,633
2013,NUMBER,foca,F,bosnian,549
2013,NUMBER,han_pijesak,_T,bosnian,433
2013,NUMBER,han_pijesak,M,bosnian,211
2013,NUMBER,han_pijesak,F,bosnian,222
2013,NUMBER,cajnice,_T,bosnian,839
2013,NUMBER,cajnice,M,bosnian,441
2013,NUMBER,cajnice,F,bosnian,398
2013,NUMBER,celinac,_T,bosnian,391
2013,NUMBER,celinac,M,bosnian,195
2013,NUMBER,celinac,F,bosnian,196
2013,NUMBER,samac,_T,bosnian,1110
2013,NUMBER,samac,M,bosnian,527
2013,NUMBER,samac,F,bosnian,583
2013,NUMBER,sekovici,_T,bosnian,104
2013,NUMBER,sekovici,M,bosnian,52
2013,NUMBER,sekovici,F,bosnian,52
2013,NUMBER,sipovo,_T,bosnian,592
2013,NUMBER,sipovo,M,bosnian,298
2013,NUMBER,sipovo,F,bosnian,294
2013,NUMBER,republika_srpska,_T,croatian,17315
2013,NUMBER,republika_srpska,M,croatian,7870
2013,NUMBER,republika_srpska,F,croatian,9445
2013,NUMBER,grad_banja_luka,_T,croatian,1621
2013,NUMBER,grad_banja_luka,M,croatian,586
2013,NUMBER,grad_banja_luka,F,croatian,1035
2013,NUMBER,berkovici,_T,croatian,4
2013,NUMBER,berkovici,M,croatian,1
2013,NUMBER,berkovici,F,croatian,3
2013,NUMBER,grad_bijeljina,_T,croatian,134
2013,NUMBER,grad_bijeljina,M,croatian,34
2013,NUMBER,grad_bijeljina,F,croatian,100
2013,NUMBER,bileca,_T,croatian,6
2013,NUMBER,bileca,M,croatian,0
2013,NUMBER,bileca,F,croatian,6
2013,NUMBER,bratunac,_T,croatian,10
2013,NUMBER,bratunac,M,croatian,2
2013,NUMBER,bratunac,F,croatian,8
2013,NUMBER,brod,_T,croatian,2842
2013,NUMBER,brod,M,croatian,1369
2013,NUMBER,brod,F,croatian,1473
2013,NUMBER,visegrad,_T,croatian,6
2013,NUMBER,visegrad,M,croatian,0
2013,NUMBER,visegrad,F,croatian,6
2013,NUMBER,vlasenica,_T,croatian,7
2013,NUMBER,vlasenica,M,croatian,2
2013,NUMBER,vlasenica,F,croatian,5
2013,NUMBER,vukosavlje,_T,croatian,663
2013,NUMBER,vukosavlje,M,croatian,326
2013,NUMBER,vukosavlje,F,croatian,337
2013,NUMBER,gacko,_T,croatian,4
2013,NUMBER,gacko,M,croatian,4
2013,NUMBER,gacko,F,croatian,0
2013,NUMBER,grad_gradiska,_T,croatian,358
2013,NUMBER,grad_gradiska,M,croatian,120
2013,NUMBER,grad_gradiska,F,croatian,238
2013,NUMBER,grad_derventa,_T,croatian,1861
2013,NUMBER,grad_derventa,M,croatian,950
2013,NUMBER,grad_derventa,F,croatian,911
2013,NUMBER,grad_doboj,_T,croatian,869
2013,NUMBER,grad_doboj,M,croatian,378
2013,NUMBER,grad_doboj,F,croatian,491
2013,NUMBER,donji_zabar,_T,croatian,985
2013,NUMBER,donji_zabar,M,croatian,497
2013,NUMBER,donji_zabar,F,croatian,488
2013,NUMBER,grad_zvornik,_T,croatian,29
2013,NUMBER,grad_zvornik,M,croatian,2
2013,NUMBER,grad_zvornik,F,croatian,27
2013,NUMBER,istocna_ilidza,_T,croatian,76
2013,NUMBER,istocna_ilidza,M,croatian,24
2013,NUMBER,istocna_ilidza,F,croatian,52
2013,NUMBER,istocni_drvar,_T,croatian,1
2013,NUMBER,istocni_drvar,M,croatian,0
2013,NUMBER,istocni_drvar,F,croatian,1
2013,NUMBER,istocni_mostar,_T,croatian,11
2013,NUMBER,istocni_mostar,M,croatian,8
2013,NUMBER,istocni_mostar,F,croatian,3
2013,NUMBER,istocni_stari_grad,_T,croatian,1
2013,NUMBER,istocni_stari_grad,M,croatian,0
2013,NUMBER,istocni_stari_grad,F,croatian,1
2013,NUMBER,istocno_novo_sarajevo,_T,croatian,44
2013,NUMBER,istocno_novo_sarajevo,M,croatian,14
2013,NUMBER,istocno_novo_sarajevo,F,croatian,30
2013,NUMBER,jezero,_T,croatian,3
2013,NUMBER,jezero,M,croatian,2
2013,NUMBER,jezero,F,croatian,1
2013,NUMBER,kalinovik,_T,croatian,3
2013,NUMBER,kalinovik,M,croatian,1
2013,NUMBER,kalinovik,F,croatian,2
2013,NUMBER,knezevo,_T,croatian,17
2013,NUMBER,knezevo,M,croatian,4
2013,NUMBER,knezevo,F,croatian,13
2013,NUMBER,kozarska_dubica,_T,croatian,151
2013,NUMBER,kozarska_dubica,M,croatian,39
2013,NUMBER,kozarska_dubica,F,croatian,112
2013,NUMBER,kostajnica,_T,croatian,72
2013,NUMBER,kostajnica,M,croatian,24
2013,NUMBER,kostajnica,F,croatian,48
2013,NUMBER,kotor_varos,_T,croatian,714
2013,NUMBER,kotor_varos,M,croatian,357
2013,NUMBER,kotor_varos,F,croatian,357
2013,NUMBER,krupa_na_uni,_T,croatian,3
2013,NUMBER,krupa_na_uni,M,croatian,0
2013,NUMBER,krupa_na_uni,F,croatian,3
2013,NUMBER,kupres,_T,croatian,0
2013,NUMBER,kupres,M,croatian,0
2013,NUMBER,kupres,F,croatian,0
2013,NUMBER,laktasi,_T,croatian,175
2013,NUMBER,laktasi,M,croatian,60
2013,NUMBER,laktasi,F,croatian,115
2013,NUMBER,lopare,_T,croatian,23
2013,NUMBER,lopare,M,croatian,1
2013,NUMBER,lopare,F,croatian,22
2013,NUMBER,ljubinje,_T,croatian,7
2013,NUMBER,ljubinje,M,croatian,2
2013,NUMBER,ljubinje,F,croatian,5
2013,NUMBER,milici,_T,croatian,4
2013,NUMBER,milici,M,croatian,1
2013,NUMBER,milici,F,croatian,3
2013,NUMBER,modrica,_T,croatian,1246
2013,NUMBER,modrica,M,croatian,624
2013,NUMBER,modrica,F,croatian,622
2013,NUMBER,mrkonjic_grad,_T,croatian,85
2013,NUMBER,mrkonjic_grad,M,croatian,37
2013,NUMBER,mrkonjic_grad,F,croatian,48
2013,NUMBER,nevesinje,_T,croatian,14
2013,NUMBER,nevesinje,M,croatian,5
2013,NUMBER,nevesinje,F,croatian,9
2013,NUMBER,novi_grad,_T,croatian,79
2013,NUMBER,novi_grad,M,croatian,17
2013,NUMBER,novi_grad,F,croatian,62
2013,NUMBER,novo_gorazde,_T,croatian,1
2013,NUMBER,novo_gorazde,M,croatian,0
2013,NUMBER,novo_gorazde,F,croatian,1
2013,NUMBER,osmaci,_T,croatian,3
2013,NUMBER,osmaci,M,croatian,1
2013,NUMBER,osmaci,F,croatian,2
2013,NUMBER,ostra_luka,_T,croatian,92
2013,NUMBER,ostra_luka,M,croatian,43
2013,NUMBER,ostra_luka,F,croatian,49
2013,NUMBER,pale,_T,croatian,31
2013,NUMBER,pale,M,croatian,6
2013,NUMBER,pale,F,croatian,25
2013,NUMBER,pelagicevo,_T,croatian,1159
2013,NUMBER,pelagicevo,M,croatian,571
2013,NUMBER,pelagicevo,F,croatian,588
2013,NUMBER,petrovac,_T,croatian,0
2013,NUMBER,petrovac,M,croatian,0
2013,NUMBER,petrovac,F,croatian,0
2013,NUMBER,petrovo,_T,croatian,12
2013,NUMBER,petrovo,M,croatian,2
2013,NUMBER,petrovo,F,croatian,10
2013,NUMBER,grad_prijedor,_T,croatian,639
2013,NUMBER,grad_prijedor,M,croatian,284
2013,NUMBER,grad_prijedor,F,croatian,355
2013,NUMBER,prnjavor,_T,croatian,171
2013,NUMBER,prnjavor,M,croatian,59
2013,NUMBER,prnjavor,F,croatian,112
2013,NUMBER,ribnik,_T,croatian,2
2013,NUMBER,ribnik,M,croatian,0
2013,NUMBER,ribnik,F,croatian,2
2013,NUMBER,rogatica,_T,croatian,7
2013,NUMBER,rogatica,M,croatian,1
2013,NUMBER,rogatica,F,croatian,6
2013,NUMBER,rudo,_T,croatian,0
2013,NUMBER,rudo,M,croatian,0
2013,NUMBER,rudo,F,croatian,0
2013,NUMBER,sokolac,_T,croatian,8
2013,NUMBER,sokolac,M,croatian,1
2013,NUMBER,sokolac,F,croatian,7
2013,NUMBER,srbac,_T,croatian,54
2013,NUMBER,srbac,M,croatian,8
2013,NUMBER,srbac,F,croatian,46
2013,NUMBER,srebrenica,_T,croatian,6
2013,NUMBER,srebrenica,M,croatian,2
2013,NUMBER,srebrenica,F,croatian,4
2013,NUMBER,teslic,_T,croatian,766
2013,NUMBER,teslic,M,croatian,360
2013,NUMBER,teslic,F,croatian,406
2013,NUMBER,grad_trebinje,_T,croatian,149
2013,NUMBER,grad_trebinje,M,croatian,66
2013,NUMBER,grad_trebinje,F,croatian,83
2013,NUMBER,trnovo,_T,croatian,13
2013,NUMBER,trnovo,M,croatian,5
2013,NUMBER,trnovo,F,croatian,8
2013,NUMBER,ugljevik,_T,croatian,14
2013,NUMBER,ugljevik,M,croatian,1
2013,NUMBER,ugljevik,F,croatian,13
2013,NUMBER,foca,_T,croatian,19
2013,NUMBER,foca,M,croatian,3
2013,NUMBER,foca,F,croatian,16
2013,NUMBER,han_pijesak,_T,croatian,3
2013,NUMBER,han_pijesak,M,croatian,0
2013,NUMBER,han_pijesak,F,croatian,3
2013,NUMBER,cajnice,_T,croatian,3
2013,NUMBER,cajnice,M,croatian,0
2013,NUMBER,cajnice,F,croatian,3
2013,NUMBER,celinac,_T,croatian,15
2013,NUMBER,celinac,M,croatian,2
2013,NUMBER,celinac,F,croatian,13
2013,NUMBER,samac,_T,croatian,2006
2013,NUMBER,samac,M,croatian,964
2013,NUMBER,samac,F,croatian,1042
2013,NUMBER,sekovici,_T,croatian,3
2013,NUMBER,sekovici,M,croatian,0
2013,NUMBER,sekovici,F,croatian,3
2013,NUMBER,sipovo,_T,croatian,11
2013,NUMBER,sipovo,M,croatian,0
2013,NUMBER,sipovo,F,croatian,11
2013,NUMBER,republika_srpska,_T,serbian,982480
2013,NUMBER,republika_srpska,M,serbian,481743
2013,NUMBER,republika_srpska,F,serbian,500737
2013,NUMBER,grad_banja_luka,_T,serbian,166022
2013,NUMBER,grad_banja_luka,M,serbian,80369
2013,NUMBER,grad_banja_luka,F,serbian,85653
2013,NUMBER,berkovici,_T,serbian,1875
2013,NUMBER,berkovici,M,serbian,942
2013,NUMBER,berkovici,F,serbian,933
2013,NUMBER,grad_bijeljina,_T,serbian,90547
2013,NUMBER,grad_bijeljina,M,serbian,44290
2013,NUMBER,grad_bijeljina,F,serbian,46257
2013,NUMBER,bileca,_T,serbian,10534
2013,NUMBER,bileca,M,serbian,5307
2013,NUMBER,bileca,F,serbian,5227
2013,NUMBER,bratunac,_T,serbian,11930
